Opportunity Name,Billing State/Province,Account Type,Account Owner,Product Name,Amount,Billing Country,Account Name,Close Date,Closed,Created Date,Industry,Opportunity Owner,Opportunity Source,Opportunity Type,Owner Role,Product Family,Segment,Stage,Won
Opportunity for Wood9,,Customer,Irene McCoy,Cables,397280,Japan,Thomas148 Inc,2015-11-23,true,2015-09-29T00:00:00.000Z,Biotechnology,Catherine Brown,AE,New Business / Add-on,Sales WW,Accessories,COMM,09 - Closed Lost,false
Opportunity for Jefferson17,,Partner,Doroth Gardner,Cables,21640,Germany,Cortez324 Inc,2016-03-26,true,2015-11-11T00:00:00.000Z,Utilities,Irene McCoy,Marketing,New Business / Add-on,Sales WW,Accessories,SMB,08 - Closed Won,true
Opportunity for McLaughlin130,,Customer,Bruce Kennedy,Certifications,1249000,Thailand,Owens441 Inc,2016-09-22,false,2016-05-21T00:00:00.000Z,Agriculture,Eric Gutierrez,Marketing,Existing Business,Sales AMER,Digital Media,COMM,07 - Negotiation/Review,false
Opportunity for Chandler133,,Customer,Dennis Howard,Cables,754640,Norway,Gibson62 Inc,2016-08-22,false,2016-01-04T00:00:00.000Z,Healthcare,Dennis Howard,AE,New Business,Sales EMEA,Accessories,MM,05 - Perception Analysis,false
Opportunity for Rice134,,Partner,Julie Chavez,Mega laptop,243450,France,Warren653 Inc,2015-06-06,true,2015-03-26T00:00:00.000Z,Retail,Kelly Frazier,AE,New Business,Sales EMEA,Accessories,MM,08 - Closed Won,true
Opportunity for Barnes141,IA,Partner,Catherine Brown,Keyboard,363400,Canada,Conner513 Inc,2016-09-03,false,2016-05-20T00:00:00.000Z,Engineering,John Williams,BDR,New Business / Add-on,Sales WW,Accessories,SMB,02 - Qualification,false
Opportunity for Edwards146,,Customer,Laura Garza,Courses,4212140,Norway,Harris13 Inc,2016-09-09,false,2016-06-06T00:00:00.000Z,Banking,Johnny Green,Marketing,New Business,Sales WW,Accessories,MM,05 - Perception Analysis,false
Opportunity for Williams149,,Customer,Dennis Howard,Light tablet 2,2305550,Australia,Dean902 Inc,2016-08-21,false,2016-08-07T00:00:00.000Z,Education,Evelyn Williamson,BDR,New Business,Sales WW,Laptops,ESMB,03 - Needs Analysis,false
Opportunity for Wagner150,,Customer,Chris Riley,Books,2660660,United Kingdom,Bishop597 Inc,2016-04-24,true,2015-11-28T00:00:00.000Z,Agriculture,Bruce Kennedy,AE,Existing Business,Sales AMER,Digital Media,MM,09 - Closed Lost,false
Opportunity for Lewis258,HI,Customer,Dennis Howard,,309938,USA,Adkins907 Inc,2015-11-01,true,2015-03-13T00:00:00.000Z,Transportation,Laura Garza,Marketing,New Business / Add-on,Sales WW,,SMB,08 - Closed Won,true
Opportunity for Dennis260,,Partner,Harold Campbell,Books,2868400,United Kingdom,Gordon630 Inc,2016-08-22,false,2016-06-15T00:00:00.000Z,Agriculture,Bruce Kennedy,AE,Existing Business,Sales AMER,Digital Media,GB,03 - Needs Analysis,false
Opportunity for Pittman263,,Partner,Eric Sanchez,Cases,1879190,Switzerland,Joseph361 Inc,2016-01-28,true,2015-07-25T00:00:00.000Z,Manufacturing,Laura Palmer,Marketing,New Business,Sales EMEA,Accessories,MM,08 - Closed Won,true
Opportunity for Holmes265,,Partner,Irene Kelley,Books,206640,Spain,Fox572 Inc,2016-09-08,false,2016-06-14T00:00:00.000Z,Engineering,John Williams,Marketing,New Business,Sales WW,Digital Media,MM,01 - Prospecting,false
Opportunity for Murphy267,OH,Customer,Irene Kelley,Keyboard,2664105,USA,Todd690 Inc,2016-02-10,true,2015-08-17T00:00:00.000Z,Biotechnology,John Williams,Marketing,Existing Business,Sales WW,Accessories,COMM,08 - Closed Won,true
Opportunity for Freeman268,,Partner,Laura Garza,Books,1518190,Belgium,Roberson601 Inc,2016-07-22,true,2016-05-02T00:00:00.000Z,Technology,Laura Palmer,AE,New Business,Sales EMEA,Accessories,ENT,08 - Closed Won,true
Opportunity for Terry269,,Customer,Evelyn Williamson,Space phone 3,846000,Belgium,Wise244 Inc,2016-03-26,true,2015-08-07T00:00:00.000Z,Agriculture,Irene Kelley,AE,New Business / Add-on,Sales AMER,Phones,MM,08 - Closed Won,true
Opportunity for Butler275,,Customer,Harold Campbell,,209104,Switzerland,Briggs955 Inc,2016-01-29,true,2015-09-06T00:00:00.000Z,Energy,Johnny Green,BDR,New Business,Sales WW,,COMM,08 - Closed Won,true
Opportunity for Collier276,,Customer,John Williams,Keyboard,582035,Germany,Daniels141 Inc,2016-11-14,false,2016-06-17T00:00:00.000Z,Utilities,Nicolas Weaver,AE,New Business / Add-on,Sales AMER,Accessories,GB,02 - Qualification,false
Opportunity for Alexander278,UT,Customer,Chris Riley,Cables,18960,Canada,Oliver444 Inc,2016-03-06,true,2015-12-17T00:00:00.000Z,Energy,Chris Riley,AE,New Business,Sales EMEA,Accessories,SMB,08 - Closed Won,true
Opportunity for Allison281,,Customer,Eric Gutierrez,Light tablet 2,1573350,United Kingdom,Wright507 Inc,2017-01-27,false,2016-08-10T00:00:00.000Z,Education,Eric Gutierrez,Alliances,New Business / Add-on,Sales AMER,Tablets,GB,02 - Qualification,false
Opportunity for Delgado355,,Customer,Laura Garza,Cables,1318960,India,Figueroa68 Inc,2016-05-29,true,2016-02-10T00:00:00.000Z,Engineering,Chris Riley,AE,New Business,Sales EMEA,Accessories,SMB,08 - Closed Won,true
Opportunity for Watson358,TX,Customer,Eric Gutierrez,Books,117480,USA,Banks163 Inc,2016-01-16,true,2015-07-25T00:00:00.000Z,Technology,Harold Campbell,BDR,New Business,Sales EMEA,Digital Media,SMB,08 - Closed Won,true
Opportunity for Bryant359,,Customer,Kelly Frazier,Light tablet,3039400,Taiwan,Jackson589 Inc,2016-03-25,true,2016-02-06T00:00:00.000Z,Consulting,John Williams,AE,New Business / Add-on,Sales WW,Accessories,MM,08 - Closed Won,true
Opportunity for Wise361,ND,Customer,Irene Kelley,Mouse,1595250,USA,Scott708 Inc,2017-01-09,false,2016-05-16T00:00:00.000Z,Communications,Bruce Kennedy,Marketing,New Business,Sales AMER,Accessories,SMB,03 - Needs Analysis,false
Opportunity for Scott363,DE,Partner,Bruce Kennedy,Mini tablet,788800,USA,Carlson744 Inc,2016-09-26,false,2016-07-10T00:00:00.000Z,Banking,Irene McCoy,BDR,New Business / Add-on,Sales WW,Tablets,MM,05 - Perception Analysis,false
Opportunity for McCoy365,,Customer,Irene Kelley,Books,88200,India,Munoz724 Inc,2015-08-22,true,2015-02-27T00:00:00.000Z,Agriculture,Irene McCoy,BDR,New Business,Sales WW,Digital Media,MM,08 - Closed Won,true
Opportunity for Love368,,Customer,Johnny Green,Cables,390885,Norway,Ross364 Inc,2016-04-13,true,2015-10-29T00:00:00.000Z,Insurance,Evelyn Williamson,AE,New Business / Add-on,Sales WW,Accessories,MM,08 - Closed Won,true
Opportunity for Rios369,TX,Customer,Catherine Brown,Space phone 2,112725,USA,King177 Inc,2015-10-03,true,2015-04-18T00:00:00.000Z,Telecommunications,Irene McCoy,AE,New Business / Add-on,Sales WW,Phones,SMB,09 - Closed Lost,false
Opportunity for Gordon370,DE,Customer,Laura Garza,Space phone 2,179225,Canada,Padilla472 Inc,2016-06-19,true,2016-02-01T00:00:00.000Z,Consulting,Irene Kelley,Marketing,New Business,Sales AMER,Phones,GB,08 - Closed Won,true
Opportunity for Harrington373,NC,Customer,John Williams,Cables,22240,USA,West706 Inc,2016-04-28,true,2016-03-05T00:00:00.000Z,Technology,Johnny Green,Alliances,New Business,Sales WW,Accessories,ESMB,08 - Closed Won,true
Opportunity for Pearson374,LA,Partner,Nicolas Weaver,Light tablet,62400,USA,McGuire26 Inc,2016-06-12,true,2016-03-21T00:00:00.000Z,Energy,Chris Riley,AE,New Business,Sales EMEA,Tablets,MM,08 - Closed Won,true
Opportunity for Clayton375,,Customer,Dennis Howard,Books,657600,Norway,Perkins198 Inc,2016-04-08,true,2015-10-03T00:00:00.000Z,Transportation,John Williams,AE,New Business,Sales WW,Digital Media,SMB,08 - Closed Won,true
Opportunity for Mathis376,,Partner,Eric Sanchez,Cables,637520,Japan,Banks379 Inc,2015-12-26,true,2015-07-26T00:00:00.000Z,Apparel,Doroth Gardner,BDR,New Business,Sales AMER,Accessories,ESMB,08 - Closed Won,true
Opportunity for Gray19,,Partner,Irene Kelley,Cables,690210,Hong Kong,Barnett543 Inc,2015-08-28,true,2015-04-08T00:00:00.000Z,Consulting,Harold Campbell,Marketing,New Business,Sales EMEA,Accessories,GB,08 - Closed Won,true
Opportunity for Hawkins22,MI,Customer,Chris Riley,,136464,Morocco,Duncan433 Inc,2016-08-28,false,2016-06-01T00:00:00.000Z,Telecommunications,Laura Garza,Marketing,New Business,Sales WW,,COMM,01 - Prospecting,false
Opportunity for McCormick23,,Partner,John Williams,Books,744440,Australia,Lowe496 Inc,2017-01-13,false,2016-07-18T00:00:00.000Z,Communications,Bruce Kennedy,Marketing,New Business,Sales AMER,Accessories,MM,07 - Negotiation/Review,false
