Opportunity Name,Billing State/Province,Account Type,Account Owner,Product Name,Amount,#,Account Name,Billing Country,Close Date,Closed,Created Date,Forecast Category,Industry,Opportunity Owner,Opportunity Source,Opportunity Type,Owner Role,Product Family,Segment,Stage,Won
Opportunity for Estrada781,,Customer,Irene McCoy,Courses,2182350,268,Gutierrez305 Inc,Mexico,9/8/20,True,2015-04-14T00:00:00.000Z,Closed,Energy,Harold Campbell,Alliances,New Business,Sales EMEA,Accessories,COMM,08 - Closed Won,True
Opportunity for Stone1492,,Customer,Irene Kelley,Mega laptop,3163400,186,Fleming710 Inc,Taiwan,12/17/20,True,2015-08-24T00:00:00.000Z,Omitted,Utilities,Eric Gutierrez,BDR,New Business,Sales AMER,Laptops,MM,09 - Closed Lost,False
Opportunity for Owens1201,SC,Customer,Nicolas Weaver,,94151,320,Carpenter67 Inc,Canada,7/27/20,True,2015-03-24T00:00:00.000Z,Closed,Manufacturing,Harold Campbell,BDR,New Business,Sales EMEA,,GB,08 - Closed Won,True
Opportunity for Castro1653,,Customer,Julie Chavez,,191895,455,Burgess3 Inc,Germany,9/19/20,True,2015-03-12T00:00:00.000Z,Omitted,Transportation,Doroth Gardner,Alliances,New Business,Sales AMER,,COMM,09 - Closed Lost,False
Opportunity for McKenzie1054,SD,Customer,Laura Garza,Books,1224345,648,Rowe333 Inc,Canada,4/12/21,True,2016-01-19T00:00:00.000Z,Closed,Communications,Irene Kelley,BDR,Existing Business,Sales AMER,Digital Media,ESMB,08 - Closed Won,True
Opportunity for Flores1296,,Customer,Irene McCoy,Cables,2325850,451,Reeves202 Inc,Sweden,6/20/21,True,2015-11-22T00:00:00.000Z,Closed,Apparel,Irene Kelley,Alliances,Existing Business,Sales AMER,Accessories,COMM,08 - Closed Won,True
Opportunity for Bowman1081,,Partner,Johnny Green,,218204,134,Johnson960 Inc,Italy,8/16/20,True,2015-04-17T00:00:00.000Z,Closed,Communications,Eric Gutierrez,Marketing,New Business / Add-on,Sales AMER,,SMB,08 - Closed Won,True
Opportunity for Floyd1015,PA,Partner,Johnny Green,,401291,576,Tyler418 Inc,Canada,9/21/20,True,2015-08-25T00:00:00.000Z,Closed,Electronics,Catherine Brown,BDR,New Business,Sales WW,,ESMB,08 - Closed Won,True
Opportunity for Higgins1229,,Customer,Nicolas Weaver,Notebook,720875,363,Robbins449 Inc,Taiwan,5/12/21,True,2016-01-25T00:00:00.000Z,Closed,Engineering,Eric Sanchez,AE,New Business / Add-on,Sales WW,Laptops,GB,08 - Closed Won,True
Opportunity for Wilkerson493,,Customer,Irene Kelley,Space phone 2,597750,383,Tran866 Inc,India,1/27/21,True,2016-01-08T00:00:00.000Z,Closed,Energy,Evelyn Williamson,AE,New Business,Sales WW,Phones,GB,08 - Closed Won,True
Opportunity for Evans911,,Customer,Laura Palmer,Cables,185630,444,Aguilar870 Inc,Russia,8/23/21,False,2016-07-08T00:00:00.000Z,Pipeline,Media,Eric Sanchez,Alliances,New Business,Sales WW,Accessories,ESMB,04 - Value Proposition,False
Opportunity for Bates1455,RI,Customer,Chris Riley,Courses,482025,140,Fleming762 Inc,USA,2/15/22,False,2016-07-18T00:00:00.000Z,Pipeline,Insurance,Bruce Kennedy,Alliances,New Business / Add-on,Sales AMER,Digital Media,ENT,04 - Value Proposition,False
Opportunity for Todd1101,,Partner,Bruce Kennedy,,173566,171,Fowler307 Inc,Germany,7/25/21,True,2016-04-13T00:00:00.000Z,Closed,Agriculture,Eric Sanchez,AE,New Business,Sales WW,,MM,08 - Closed Won,True
Opportunity for Guerrero433,,Customer,Dennis Howard,,274656,264,Wilkerson769 Inc,Japan,1/24/21,True,2015-08-20T00:00:00.000Z,Closed,Insurance,Catherine Brown,Marketing,New Business,Sales WW,,ENT,08 - Closed Won,True
Opportunity for McBride299,,Customer,Harold Campbell,Courses,567000,53,Graves925 Inc,China,9/15/21,False,2016-02-27T00:00:00.000Z,Pipeline,Education,Johnny Green,AE,New Business,Sales WW,Digital Media,ENT,04 - Value Proposition,False
Opportunity for Gordon872,,Customer,John Williams,Books,339815,393,Myers448 Inc,Norway,9/14/20,True,2015-06-23T00:00:00.000Z,Closed,Technology,Harold Campbell,AE,New Business / Add-on,Sales EMEA,Accessories,MM,08 - Closed Won,True
Opportunity for Swanson1068,,Customer,Irene McCoy,,248276,131,Ellis327 Inc,South Korea,12/5/21,False,2016-06-01T00:00:00.000Z,Commit,Banking,Laura Garza,AE,New Business,Sales WW,,MM,07 - Negotiation/Review,False
Opportunity for Snyder164,,Customer,Bruce Kennedy,Books,2505200,47,Silva224 Inc,Brazil,8/24/20,True,2015-08-14T00:00:00.000Z,Closed,Banking,Chris Riley,AE,New Business,Sales EMEA,Accessories,MM,08 - Closed Won,True
Opportunity for Carson1966,,Customer,John Williams,Light laptop,3392500,339,Salazar150 Inc,United Kingdom,1/2/21,True,2015-05-27T00:00:00.000Z,Omitted,Utilities,Johnny Green,Marketing,New Business,Sales WW,Laptops,SMB,09 - Closed Lost,False
Opportunity for Curtis1571,,Partner,Chris Riley,Books,198000,327,Chapman475 Inc,Singapore,5/31/21,True,2016-05-01T00:00:00.000Z,Closed,Media,Kelly Frazier,Marketing,New Business,Sales EMEA,Digital Media,MM,08 - Closed Won,True
Opportunity for Johnston601,,Customer,Laura Garza,,377520,533,Hansen313 Inc,Italy,8/8/20,True,2015-05-21T00:00:00.000Z,Omitted,Technology,Irene Kelley,AE,New Business / Add-on,Sales AMER,,ENT,09 - Closed Lost,False
Opportunity for Lloyd988,SC,Partner,Dennis Howard,Cables,2243150,541,Wise175 Inc,USA,8/29/21,False,2016-04-06T00:00:00.000Z,Best Case,Insurance,Eric Sanchez,AE,Existing Business,Sales WW,Accessories,MM,06 - Proposal/Price Quote,False
Opportunity for Pittman483,,Customer,Irene McCoy,Cables,458680,351,Reese490 Inc,Germany,4/22/21,True,2016-04-01T00:00:00.000Z,Omitted,Communications,Eric Gutierrez,AE,Existing Business,Sales AMER,Accessories,MM,09 - Closed Lost,False
Opportunity for Rice134,,Partner,Julie Chavez,Mega laptop,243450,5,Warren653 Inc,France,6/6/20,True,2015-03-26T00:00:00.000Z,Closed,Retail,Kelly Frazier,AE,New Business,Sales EMEA,Accessories,MM,08 - Closed Won,True
Opportunity for Moss1820,HI,Customer,Johnny Green,Books,1489210,669,Simpson342 Inc,Canada,12/16/21,False,2016-06-20T00:00:00.000Z,Best Case,Media,Doroth Gardner,AE,New Business,Sales AMER,Digital Media,SMB,05 - Perception Analysis,False
Opportunity for Howard1207,CT,Customer,Laura Garza,,449438,323,Marsh836 Inc,USA,3/4/22,False,2016-07-23T00:00:00.000Z,Pipeline,Insurance,Laura Palmer,AE,New Business,Sales EMEA,,SMB,04 - Value Proposition,False
Opportunity for Soto1087,,Customer,Irene Kelley,Certifications,263500,136,Fleming710 Inc,Taiwan,2/11/21,True,2015-07-01T00:00:00.000Z,Closed,Utilities,Irene Kelley,Alliances,New Business / Add-on,Sales AMER,Digital Media,MM,08 - Closed Won,True
Opportunity for Nash833,KS,Customer,Nicolas Weaver,Books,51480,354,Martin949 Inc,USA,7/18/21,True,2016-04-23T00:00:00.000Z,Closed,Finance,Laura Palmer,Alliances,New Business / Add-on,Sales EMEA,Digital Media,SMB,08 - Closed Won,True
